duration,power,workout_name
323,108,The Shovel
241,137,The Shovel
180,157,The Shovel
121,176,The Shovel
59,196,The Shovel
11,380,The Shovel
75,98,The Shovel
10,292,The Shovel
80,98,The Shovel
55,206,The Shovel
5,78,The Shovel
49,216,The Shovel
10,78,The Shovel
45,219,The Shovel
15,78,The Shovel
40,231,The Shovel
20,78,The Shovel
35,243,The Shovel
24,78,The Shovel
30,255,The Shovel
31,78,The Shovel
25,267,The Shovel
35,78,The Shovel
20,361,The Shovel
40,78,The Shovel
15,418,The Shovel
46,78,The Shovel
10,733,The Shovel
50,78,The Shovel
5,838,The Shovel
55,78,The Shovel
5,838,The Shovel
56,78,The Shovel
10,733,The Shovel
50,78,The Shovel
15,418,The Shovel
45,78,The Shovel
20,361,The Shovel
40,78,The Shovel
24,267,The Shovel
35,78,The Shovel
30,255,The Shovel
30,78,The Shovel
35,243,The Shovel
26,78,The Shovel
40,231,The Shovel
20,78,The Shovel
45,219,The Shovel
15,78,The Shovel
50,216,The Shovel
10,78,The Shovel
60,196,The Shovel
4,78,The Shovel
60,196,The Shovel
303,78,The Shovel
5,838,The Shovel
55,78,The Shovel
10,733,The Shovel
50,78,The Shovel
15,418,The Shovel
45,78,The Shovel
20,361,The Shovel
40,78,The Shovel
25,267,The Shovel
35,78,The Shovel
30,255,The Shovel
30,78,The Shovel
35,243,The Shovel
26,78,The Shovel
40,231,The Shovel
20,78,The Shovel
45,219,The Shovel
15,78,The Shovel
50,216,The Shovel
10,78,The Shovel
50,206,The Shovel
5,78,The Shovel
61,196,The Shovel
60,78,The Shovel
55,206,The Shovel
6,78,The Shovel
50,216,The Shovel
10,78,The Shovel
46,219,The Shovel
15,78,The Shovel
40,231,The Shovel
20,78,The Shovel
35,243,The Shovel
25,78,The Shovel
30,255,The Shovel
31,78,The Shovel
25,267,The Shovel
35,78,The Shovel
20,380,The Shovel
45,78,The Shovel
15,418,The Shovel
50,78,The Shovel
10,733,The Shovel
51,78,The Shovel
6,838,The Shovel
601,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,890,Sprints 12 x 10s
590,108,Sprints 12 x 10s
300,98,Sprints 12 x 10s
600,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
10,1047,Sprints 12 x 10s
590,108,Sprints 12 x 10s
181,88,Endurance 6
21300,118,Endurance 6
21,98,Violator
189,118,Violator
108,137,Violator
61,167,Violator
56,108,Violator
63,186,Violator
61,108,Violator
60,216,Violator
119,157,Violator
6,890,Violator
29,88,Violator
5,890,Violator
30,88,Violator
5,879,Violator
30,88,Violator
5,879,Violator
30,88,Violator
5,869,Violator
30,88,Violator
5,869,Violator
30,88,Violator
5,859,Violator
30,88,Violator
5,859,Violator
30,88,Violator
5,848,Violator
30,88,Violator
5,848,Violator
30,88,Violator
5,838,Violator
30,88,Violator
5,838,Violator
30,88,Violator
10,838,Violator
60,88,Violator
10,827,Violator
60,88,Violator
10,817,Violator
60,88,Violator
10,806,Violator
60,88,Violator
10,796,Violator
60,88,Violator
10,785,Violator
60,88,Violator
10,775,Violator
60,88,Violator
10,764,Violator
60,88,Violator
15,494,Violator
90,88,Violator
15,486,Violator
90,88,Violator
15,479,Violator
90,88,Violator
15,471,Violator
90,88,Violator
15,464,Violator
90,88,Violator
15,456,Violator
180,88,Violator
5,665,Violator
15,78,Violator
5,608,Violator
15,78,Violator
5,589,Violator
15,78,Violator
5,581,Violator
15,78,Violator
5,570,Violator
15,78,Violator
5,559,Violator
15,78,Violator
5,551,Violator
15,78,Violator
5,543,Violator
15,78,Violator
5,536,Violator
15,78,Violator
5,528,Violator
15,78,Violator
10,494,Violator
30,78,Violator
10,490,Violator
30,78,Violator
10,486,Violator
30,78,Violator
10,483,Violator
30,78,Violator
10,479,Violator
30,78,Violator
10,475,Violator
30,78,Violator
10,471,Violator
30,78,Violator
10,467,Violator
30,78,Violator
15,306,Violator
45,78,Violator
15,304,Violator
45,78,Violator
15,301,Violator
45,78,Violator
15,299,Violator
165,78,Violator
5,486,Violator
5,69,Violator
5,437,Violator
5,69,Violator
5,413,Violator
5,69,Violator
5,401,Violator
5,69,Violator
5,389,Violator
5,69,Violator
5,384,Violator
5,69,Violator
5,379,Violator
5,69,Violator
5,374,Violator
5,69,Violator
10,364,Violator
10,69,Violator
10,362,Violator
10,69,Violator
10,360,Violator
10,69,Violator
10,357,Violator
10,69,Violator
10,355,Violator
10,69,Violator
10,352,Violator
10,69,Violator
15,314,Violator
15,69,Violator
15,314,Violator
